Time,Flux_18_18,Flux_18_19,Flux_18_20,Flux_18_21,Flux_18_22,Flux_19_18,Flux_19_19,Flux_19_20,Flux_19_21,Flux_19_22,Flux_20_18,Flux_20_19,Flux_20_20,Flux_20_21,Flux_20_22,Flux_21_18,Flux_21_19,Flux_21_20,Flux_21_21,Flux_21_22,Flux_22_18,Flux_22_19,Flux_22_20,Flux_22_21,Flux_22_22
2307.291327643808,0.0018427732975876687,7.175448703768822e-05,-0.0007882851284695368,-0.0006461936238017635,0.003283738817532744,0.002004982632429042,-0.0013669591404070064,-0.0018763156148850074,-0.002478252180231122,-0.0031419675987673368,-0.001539672376259349,-0.00732823226802265,-0.008501129330237195,-0.009105676809624763,-0.0026577042806729123,-0.004834411517678855,-0.015581925575054834,-0.02071897372176089,-0.01923198927738451,-0.002112211361756211,-0.005836021558390636,-0.0182951738507805,-0.02167108253299586,-0.021298386203155717,-0.012328317775180453
2307.298272091907,0.001603111557135467,-0.0017851701220880853,-0.0009978891861565087,-0.0015134657377106897,0.000508997259599131,0.0006358214380487726,-0.002260524170180536,-0.0017812239903709504,0.0006256481108432299,-0.0013090882387651326,-0.0033387974591113367,-0.007706456946442203,-0.011200239176865578,-0.006133488632325906,-0.0024539595387313984,-0.007664184807923052,-0.013938081726744489,-0.020771359779321916,-0.017766120744442088,-0.00879722227956592,-0.0072794187464863686,-0.01849612659876638,-0.02254614785349656,-0.019179177250331886,-0.00841558509286594
2307.305216539775,0.0014734657719814304,-0.001166928688654794,-0.0014489499114194154,-0.0018015432791357588,0.0011535480046306335,0.003732418337509591,-0.0016715148311405165,-0.003120327238763043,-0.0009541593543796467,-0.0016354771113724353,-0.004107378339800377,-0.007469418617842977,-0.009960056375400428,-0.009427135114298657,-0.0027527934532222686,-0.00654582864007644,-0.01355010244997007,-0.018708774907842896,-0.015878805279314484,0.0004541504659418827,-0.004202046103101181,-0.014762182980402407,-0.01891831245641884,-0.016576722798314653,-0.012771651987800448
2307.3121609878735,-0.0015593435517749499,0.0012422110807491817,-0.0011093679359915516,-0.0007526032452812303,0.0010339077771577276,0.0018212969414551639,-0.0013103189384632702,-0.0013614060148278706,0.000496944371725816,-0.0009471408166882578,-0.0030527900322922796,-0.00521267150452942,-0.009534374476560664,-0.006047362454868865,-0.00040377463172852623,-0.005481688648477895,-0.012849206021664533,-0.017993876909609366,-0.01548543106537384,-0.002069880119711598,-0.007489119848227643,-0.01505778648168618,-0.019822807422477152,-0.016574350051479808,-0.009839310134728219
2307.319105435973,0.0013843949100441622,-0.0013851008585283146,0.00030131258408739323,-0.0023134112805047735,0.0010338081237869778,0.0001863265369450029,-0.0007991098290120596,-0.0003937061582118123,-0.0019703055484293075,-0.001717181127391304,-0.00309264255339578,-0.005716173902643201,-0.007002882178530789,-0.008227940652059701,1.5842151879719157e-05,-0.00571002582089189,-0.011846249739640283,-0.016799497300529972,-0.01672126284098499,-0.003225639914925027,-0.0067771374088298475,-0.013887626981652561,-0.01592888227624982,-0.016898801653342732,-0.005376258746675466
2307.3260498843056,-0.0013539486526528977,0.00029681908819545813,-0.0005825584006169116,0.0012166065357264166,0.0006289356077278513,-0.00015139418054352372,-8.620128487028811e-05,-0.0021613786379465205,-0.00035872584708537825,-0.00022966877921590245,-0.003973592933277023,-0.007834671608126925,-0.00914097632528496,-0.005624291675989573,-0.0025717728592712374,-0.005738706066026111,-0.010289606327102241,-0.016218701395397647,-0.01296701668198652,-0.0024799094478893946,-0.005918172118227066,-0.012884414818882299,-0.016579042443959333,-0.014397604479915144,-0.007364578535407118
2307.3329943326376,0.0015439404094151898,0.000644653716175482,-0.0015530634755248508,-0.0011827526553546547,0.002570561884814554,-5.466425395742047e-05,-0.000846203384373842,-0.0004284348784105302,-0.001628283835514277,-0.00033755397606768933,-0.0036723556422601084,-0.006967397167983613,-0.00565110439654723,-0.005393974863067502,3.1014545307406216e-05,-0.004844675518431513,-0.011492656786160418,-0.01666683997108062,-0.014260020812375512,-0.004570139390568495,-0.006036264244238879,-0.013840812755051626,-0.017108564979085823,-0.012701386019728061,-0.00821708284270023
2307.3399387809695,0.0017323592510231633,0.0007703694697661868,-0.0013987314878083235,0.0008604063850830845,-0.0017048045193183425,0.001875362991547752,-0.0012412794547018574,-0.0008790105211764487,-0.0015735885413684647,0.0016142363399341275,-0.002399630700934921,-0.004952731139747757,-0.00788429314096889,-0.004827500128256307,-0.005082844914769624,-0.0038252601662869257,-0.010508590927047534,-0.01702347031509943,-0.012241745825342099,-0.005463404821346385,-0.0051449270812097825,-0.013269753897480772,-0.017054487895048626,-0.012678384253037911,-0.007383091562713384
2307.3468832293015,-0.001223995134864958,0.0008009493244755311,-0.0006213763823175057,-0.001863368185311895,0.0016005987083724943,0.0008746476063227759,-0.0020168840500144336,-0.0011564809880328375,0.0008274436752380709,-0.00028757333084389325,-0.002100409099372591,-0.005967917964051078,-0.007649975716766455,-0.0023455827867668033,-0.0025855499268496174,-0.0043188762593867475,-0.010635917301645398,-0.016893023393914658,-0.009933301936588645,-0.0060777078003683704,-0.006793118810192039,-0.013835558475394819,-0.014721250498186152,-0.011939570072254296,-0.005132476609088776
2307.3538276778663,-0.0007641207336819555,-0.0001121791436108229,1.659650407461041e-05,-0.0009343479263181353,0.0020295527926070395,-0.00023351340973606916,-0.0012253601502273254,-0.0016682209145608001,-5.4005198644263563e-05,-0.0015884068826664266,-0.002705287172423493,-0.004949307582952089,-0.005593493446781395,-0.005724596184622038,0.0014454218340606007,-0.005765486092124669,-0.009690720836745756,-0.013747794904866856,-0.013861307318773913,-0.0008666803923167987,-0.0038405741594208093,-0.011601119611112758,-0.013820460299208864,-0.013082175061719964,-0.006312314979092792
